category,title,creator,publication_year,description
movie,Children of Men,Alfonso Cuarón,2006,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
movie,20th Century Women,Mike Mills,2016,"The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979."
movie,Spy,Paul Feig,2015,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
movie,The Intouchables,Olivier Nakache,2011,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
movie,Bonjour Anne,Eleanor Coppola,2016,"Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »"
movie,Kynodontas,Yorgos Lanthimos,2009,"Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out."
movie,Straight Outta Compton,F. Gary Gray,2015,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
movie,The Amazing Spider-Man 2,Marc Webb,2014,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
movie,The Conjuring,James Wan,2013,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
movie,The Hangover,Todd Phillips,2009,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
movie,Battleship,Peter Berg,2012,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.
movie,Rise of the Planet of the Apes,Rupert Wyatt,2011,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising."
movie,Lights Out,David F. Sandberg,2016,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother."
movie,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,2016,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse."
movie,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,2014,"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown."
movie,Black Swan,Darren Aronofsky,2010,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity."
movie,Dear White People,Justin Simien,2014,The lives of four black students at an Ivy League college.
movie,Nymphomaniac: Vol. I,Lars von Trier,2013,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
movie,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,2016,"After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang."
movie,Knock Knock,Eli Roth,2015,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
movie,Dirty Grandpa,Dan Mazer,2016,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break."
movie,Cloud Atlas,Tom Tykwer,2012,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution."
movie,X-Men Origins: Wolverine,Gavin Hood,2009,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years."
movie,Satanic,Jeffrey G. Hunt,2016,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror."
movie,Skyfall,Sam Mendes,2012,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
movie,The Hobbit: An Unexpected Journey,Peter Jackson,2012,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug."
movie,21 Jump Street,Phil Lord,2012,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
movie,Sing Street,John Carney,2016,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
movie,Ballerina,Eric Summer,2016,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house."
movie,Oblivion,Joseph Kosinski,2013,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
movie,22 Jump Street,Phil Lord,2014,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college."
movie,Zodiac,David Fincher,2007,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
movie,Everybody Wants Some!!,Richard Linklater,2016,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood."
movie,Iron Man Three,Shane Black,2013,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
movie,Now You See Me,Louis Leterrier,2013,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.
movie,Sherlock Holmes,Guy Ritchie,2009,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
movie,Death Proof,Quentin Tarantino,2007,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans."
movie,The Danish Girl,Tom Hooper,2015,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
movie,Hercules,Brett Ratner,2014,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord."
movie,Sucker Punch,Zack Snyder,2011,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape."
movie,Keeping Up with the Joneses,Greg Mottola,2016,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.
movie,Jupiter Ascending,Lana Wachowski,2015,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.
movie,Masterminds,Jared Hess,2016,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.
movie,Iris,Jalil Lespert,2016,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police."
movie,Busanhaeng,Sang-ho Yeon,2016,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan."
movie,Pitch Perfect,Jason Moore,2012,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
movie,Neighbors 2: Sorority Rising,Nicholas Stoller,2016,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down."
movie,The Exception,David Leveaux,2016,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation."
movie,Man of Steel,Zack Snyder,2013,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction."
movie,The Choice,Ross Katz,2016,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.
movie,Ice Age: Collision Course,Mike Thurmeier,2016,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world."
movie,The Devil Wears Prada,David Frankel,2006,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
movie,The Infiltrator,Brad Furman,2016,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.
movie,There Will Be Blood,Paul Thomas Anderson,2007,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
movie,The Equalizer,Antoine Fuqua,2014,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her."
movie,Lone Survivor,Peter Berg,2013,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
movie,The Cabin in the Woods,Drew Goddard,2012,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
movie,The House Bunny,Fred Wolf,2008,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls."
movie,She's Out of My League,Jim Field Smith,2010,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
movie,Inherent Vice,Paul Thomas Anderson,2014,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend."
movie,Alice Through the Looking Glass,James Bobin,2016,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.
movie,Vincent N Roxxy,Gary Michael Schultz,2016,A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.
movie,The Fast and the Furious: Tokyo Drift,Justin Lin,2006,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
movie,How to Be Single,Christian Ditter,2016,A group of young adults navigate love and relationships in New York City.
movie,The Blind Side,John Lee Hancock,2009,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family."
movie,La vie d'Adèle,Abdellatif Kechiche,2013,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
movie,The Babadook,Jennifer Kent,2014,"A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her."
movie,The Hobbit: The Battle of the Five Armies,Peter Jackson,2014,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.
movie,Harry Potter and the Order of the Phoenix,David Yates,2007,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
movie,Snowpiercer,Bong Joon Ho,2013,"Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges."
movie,The 5th Wave,J Blakeson,2016,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."
movie,The Stakelander,Dan Berk,2016,"When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him."
movie,The Visit,M. Night Shyamalan,2015,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
movie,Fast Five,Justin Lin,2011,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
movie,Step Up,Anne Fletcher,2006,"Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora."
movie,Lovesong,So Yong Kim,2016,The relationship between two friends deepens during an impromptu road trip.
movie,RocknRolla,Guy Ritchie,2008,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »"
movie,In Time,Andrew Niccol,2011,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
movie,The Social Network,David Fincher,2010,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business."
movie,The Last Witch Hunter,Breck Eisner,2015,The last witch hunter is all that stands between humanity and the combined forces of the most horrifying witches in history.
movie,Victor Frankenstein,Paul McGuigan,2015,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today."
movie,A Street Cat Named Bob,Roger Spottiswoode,2016,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat."
movie,Green Room,Jeremy Saulnier,2015,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
movie,Blackhat,Michael Mann,2015,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.
movie,Storks,Nicholas Stoller,2016,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
movie,American Sniper,Clint Eastwood,2014,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home to his wife and kids after four tours of duty, however, Chris finds that it is the war he can't leave behind."
movie,Dallas Buyers Club,Jean-Marc Vallée,2013,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
movie,Lincoln,Steven Spielberg,2012,"As the War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves."
movie,Rush,Ron Howard,2013,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.
movie,Before I Wake,Mike Flanagan,2016,A young couple adopt an orphaned child whose dreams - and nightmares - manifest physically as he sleeps.
movie,Silver Linings Playbook,David O. Russell,2012,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
movie,Tracktown,Alexi Pappas,2016,"A young, talented, and lonely long-distance runner twists her ankle as she prepares for the Olympic Trials and must do something she's never done before: take a day off."
movie,The Fault in Our Stars,Josh Boone,2014,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
movie,Blended,Frank Coraci,2014,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship."
movie,Fast & Furious,Justin Lin,2009,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
movie,Looper,Rian Johnson,2012,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
movie,White House Down,Roland Emmerich,2013,"While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
movie,Pete's Dragon,David Lowery,2016,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon."
movie,Spider-Man 3,Sam Raimi,2007,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
movie,The Three Musketeers,Paul W.S. Anderson,2011,The hot-headed young D'Artagnan along with three former legendary but now down on their luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
movie,Stardust,Matthew Vaughn,2007,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
movie,American Hustle,David O. Russell,2013,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia."
movie,Jennifer's Body,Karyn Kusama,2009,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?
movie,Midnight in Paris,Woody Allen,2011,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
movie,Lady Macbeth,William Oldroyd,2016,"Set in 19th century rural England, young bride who has been sold into marriage to a middle-aged man discovers an unstoppable desire within herself as she enters into an affair with a work on her estate."
movie,Joy,David O. Russell,2015,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty."
movie,The Dressmaker,Jocelyn Moorhouse,2015,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
movie,Café Society,Woody Allen,2016,"In the 1930s, a Bronx native moves to Hollywood and falls in love with a young woman who is seeing a married man."
movie,Insurgent,Robert Schwentke,2015,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
movie,Seventh Son,Sergei Bodrov,2014,"When Mother Malkin, the queen of evil witches, escapes the pit she was imprisoned in by professional monster hunter Spook decades ago and kills his apprentice, he recruits young Tom, the seventh son of the seventh son, to help him."
movie,Demain tout commence,Hugo Gélin,2016,Samuel parties hard in the Marseille area of France and is awoken one morning by a woman carrying a baby she claims is his. She drives off leaving him with a wailing infant; he gives chase ... See full summary »
movie,The Theory of Everything,James Marsh,2014,A look at the relationship between the famous physicist Stephen Hawking and his wife.
movie,This Is the End,Evan Goldberg,2013,"While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the Biblical Apocalypse."
movie,About Time,Richard Curtis,2013,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
movie,Step Brothers,Adam McKay,2008,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
movie,Clown,Jon Watts,2014,"A loving father finds a clown suit for his son's birthday party, only to realize that it is not a suit at all."
movie,Star Trek Into Darkness,J.J. Abrams,2013,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
movie,Zombieland,Ruben Fleischer,2009,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
movie,"Hail, Caesar!",Ethan Coen,2016,A Hollywood fixer in the 1950s works to keep the studio's stars in line.
movie,Slumdog Millionaire,Danny Boyle,2008,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?"""
movie,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012,"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi."
movie,American Wrestler: The Wizard,Alex Ranarivelo,2016,"In 1980, a teenage boy escapes the unrest in Iran only to face more hostility in America, due to the hostage crisis. Determined to fit in, he joins the school's floundering wrestling team."
movie,The Amazing Spider-Man,Marc Webb,2012,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death."
movie,Ben-Hur,Timur Bekmambetov,2016,"Judah Ben-Hur, a prince falsely accused of treason by his adopted brother, an officer in the Roman army, returns to his homeland after years at sea to seek revenge, but finds redemption."
movie,Sleight,J.D. Dillard,2016,"A young street magician (Jacob Latimore) is left to care for his little sister after their parents passing, and turns to illegal activities to keep a roof over their heads. When he gets in ... See full summary »"
movie,The Maze Runner,Wes Ball,2014,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
movie,Criminal,Ariel Vromen,2016,"In a last-ditch effort to stop a diabolical plot, a dead CIA operative's memories, secrets, and skills are implanted into a death-row inmate in hopes that he will complete the operative's mission."
movie,Wanted,Timur Bekmambetov,2008,"A frustrated office worker learns that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
movie,Florence Foster Jenkins,Stephen Frears,2016,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice."
movie,Collide,Eran Creevy,2016,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn."
movie,Black Mass,Scott Cooper,2015,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
movie,Creed,Ryan Coogler,2015,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
movie,Swiss Army Man,Dan Kwan,2016,A hopeless man stranded on a deserted island befriends a dead body and together they go on a surreal journey to get home.
movie,The Expendables 3,Patrick Hughes,2014,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates."
movie,What We Do in the Shadows,Jemaine Clement,2014,"A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too."
movie,Southpaw,Antoine Fuqua,2015,Boxer Billy Hope turns to trainer Tick Wills to help him get his life back on track after losing his wife in a tragic accident and his daughter to child protection services.
movie,Hush,Mike Flanagan,2016,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears at her window.
movie,Bridge of Spies,Steven Spielberg,2015,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
movie,The Lego Movie,Phil Lord,2014,"An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis."
movie,Everest,Baltasar Kormákur,2015,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
movie,Pixels,Chris Columbus,2015,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
movie,Robin Hood,Ridley Scott,2010,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
movie,The Wolverine,James Mangold,2013,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons."
movie,John Carter,Andrew Stanton,2012,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior."
movie,Keanu,Peter Atencio,2016,"When an L.A. drug kingpin's kitten unexpectedly enters the life of two cousins, they will have to go through gangs, hitmen and drug dealers who claim him in order to get him back."
movie,The Gunman,Pierre Morel,2015,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself."
movie,Steve Jobs,Danny Boyle,2015,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
movie,Whisky Galore,Gillies MacKinnon,2016,Scottish islanders try to plunder cases of whisky from a stranded ship.
movie,Grown Ups 2,Dennis Dugan,2013,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and 400 costumed party crashers sometimes crazy follows you."
movie,The Age of Adaline,Lee Toland Krieger,2015,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
movie,The Incredible Hulk,Louis Leterrier,2008,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he emerges whenever he loses his temper."
movie,Couples Retreat,Peter Billingsley,2009,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
movie,Absolutely Anything,Terry Jones,2015,"A group of eccentric aliens confer a human being with the power to do absolutely anything, as an experiment."
movie,Magic Mike,Steven Soderbergh,2012,"A male stripper teaches a younger performer how to party, pick up women, and make easy money."
movie,Minions,Kyle Balda,2015,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world."
movie,The Black Room,Rolfe Kanefsky,2016,PAUL and JENNIFER HEMDALE have just moved into their dream house. But their happy marriage is about to be put to the test as they slowly discover the secret behind the black room in the ... See full summary »
movie,Bronson,Nicolas Winding Refn,2008,"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson."
movie,Despicable Me,Pierre Coffin,2010,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
movie,The Best of Me,Michael Hoffman,2014,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
movie,The Invitation,Karyn Kusama,2015,"While attending a dinner party at his former home, a man thinks his ex-wife and her new husband have sinister intentions for their guests."
movie,Zero Dark Thirty,Kathryn Bigelow,2012,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011."
movie,Tangled,Nathan Greno,2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
movie,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,2015,"As the war of Panem escalates to the destruction of other districts, Katniss Everdeen, the reluctant leader of the rebellion, must bring together an army against President Snow, while all she holds dear hangs in the balance."
movie,Vacation,John Francis Daley,2015,"Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons."
movie,Taken,Pierre Morel,2008,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
movie,Pitch Perfect 2,Elizabeth Banks,2015,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
movie,Monsters University,Dan Scanlon,2013,A look at the relationship between Mike and Sulley during their days at Monsters University -- when they weren't necessarily the best of friends.
movie,Elle,Paul Verhoeven,2016,A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.
movie,Mechanic: Resurrection,Dennis Gansel,2016,"Arthur Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best: make them look like accidents."
movie,Tusk,Kevin Smith,2014,"When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him."
movie,The Headhunter's Calling,Mark Williams,2016,"A headhunter whose life revolves around closing deals in a a survival-of-the-fittest boiler room, battles his top rival for control of their job placement company -- his dream of owning the company clashing with the needs of his family."
movie,Atonement,Joe Wright,2007,"Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit."
movie,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows."
movie,Shame,Steve McQueen,2011,A man's carefully cultivated private life is disrupted when his sister arrives for an indefinite stay.
